                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0675,                0.78236,                 1.2287,                0.86477,                0.70312,                0.85793,                0.53579,                 1.2567,                0.92477,                 1.3678,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.0434,                0.77839,                 1.2345,                 0.7851,                0.89062,                0.90227,                0.55227,                 1.2501,                0.82378,                  1.389,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.0296,                0.75612,                 1.2288,                0.79895,                 0.8125,                0.87434,                0.58822,                 1.1564,                 0.8513,                 1.2705,               0.001307,               0.001307,               0.001307
                     38,                 1.0353,                0.74482,                 1.2137,                0.80743,                0.85168,                0.90338,                0.59623,                 1.1325,                0.76558,                 1.2347,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.0178,                0.74854,                 1.2409,                0.77107,                0.86719,                0.87152,                0.51063,                 1.3072,                0.85028,                 1.3495,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0254,                0.77322,                 1.2092,                0.83965,                0.83594,                0.91337,                0.58554,                 1.2151,                0.78205,                 1.3325,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0127,                0.70033,                 1.1993,                0.77356,                0.92969,                 0.9107,                0.56348,                  1.246,                0.79272,                 1.3127,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0069,                0.70266,                    1.2,                0.77454,                0.91254,                  0.904,                 0.5649,                 1.2383,                 0.8034,                 1.3559,               0.001208,               0.001208,               0.001208
                     43,                0.98483,                 0.6874,                  1.185,                0.83236,                0.77344,                0.87931,                0.55861,                 1.2723,                0.82498,                 1.3898,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.005,                0.70585,                 1.2039,                0.82334,                0.87388,                0.92295,                0.60738,                  1.135,                0.76474,                 1.2405,              0.0011684,              0.0011684,              0.0011684
                     45,                0.98289,                0.68745,                 1.2057,                0.81016,                0.94531,                0.92418,                0.61518,                 1.0841,                0.72291,                 1.2044,              0.0011486,              0.0011486,              0.0011486
                     46,                0.96799,                 0.6745,                 1.1667,                0.82884,                0.85156,                0.91323,                0.60956,                 1.1114,                0.74065,                 1.2568,              0.0011288,              0.0011288,              0.0011288
                     47,                0.95753,                0.65682,                 1.1698,                0.80816,                0.85938,                0.89808,                0.58194,                 1.1555,                0.75007,                 1.2767,               0.001109,               0.001109,               0.001109
                     48,                0.97311,                0.67287,                 1.1902,                0.81475,                0.89062,                0.90103,                0.58067,                 1.1908,                0.77521,                 1.3269,              0.0010892,              0.0010892,              0.0010892
                     49,                0.93667,                0.64322,                 1.1661,                0.82132,                0.88281,                0.89536,                0.57149,                 1.1754,                0.80523,                 1.2989,              0.0010694,              0.0010694,              0.0010694
                     50,                0.94051,                0.64465,                 1.1583,                0.84167,                0.89062,                0.92115,                0.58984,                 1.1254,                0.72103,                 1.2371,              0.0010496,              0.0010496,              0.0010496
                     51,                0.94787,                0.64141,                 1.1722,                 0.8444,                0.84791,                  0.906,                0.56765,                 1.2044,                0.74628,                 1.3065,              0.0010298,              0.0010298,              0.0010298
                     52,                0.94592,                0.64001,                 1.1841,                0.82921,                 0.8125,                0.88907,                0.59599,                 1.1071,                0.80552,                 1.2228,                0.00101,                0.00101,                0.00101
                     53,                0.93993,                0.62116,                 1.1768,                0.82567,                0.77344,                0.89226,                0.57935,                 1.1568,                0.76877,                 1.2559,              0.0009902,              0.0009902,              0.0009902
                     54,                0.94918,                0.64316,                 1.1739,                0.84783,                0.82031,                0.90553,                0.60543,                 1.1267,                 0.7041,                 1.2567,              0.0009704,              0.0009704,              0.0009704
                     55,                0.90889,                0.60884,                 1.1542,                0.81672,                0.92188,                 0.9119,                0.59677,                 1.1084,                0.66709,                 1.2216,              0.0009506,              0.0009506,              0.0009506
                     56,                0.91005,                0.59069,                 1.1478,                0.82312,                  0.875,                0.90119,                 0.5531,                 1.2993,                0.74039,                 1.3903,              0.0009308,              0.0009308,              0.0009308
                     57,                0.92886,                0.60991,                 1.1567,                 0.8466,                  0.875,                0.91864,                0.59015,                 1.1076,                0.71221,                 1.2099,               0.000911,               0.000911,               0.000911
                     58,                0.89573,                0.60553,                 1.1225,                0.84824,                0.80469,                0.88212,                0.58178,                 1.0718,                0.80528,                 1.2292,              0.0008912,              0.0008912,              0.0008912
                     59,                0.89696,                0.58979,                 1.1477,                0.79751,                0.85156,                0.88196,                0.57836,                 1.1959,                0.80208,                 1.3314,              0.0008714,              0.0008714,              0.0008714
                     60,                0.87684,                0.58549,                 1.1264,                0.82655,                0.85938,                0.91258,                0.57742,                 1.2156,                0.77387,                  1.314,              0.0008516,              0.0008516,              0.0008516
                     61,                0.88887,                0.57591,                 1.1408,                0.83635,                0.90625,                0.92963,                0.58075,                 1.1361,                0.69686,                 1.2264,              0.0008318,              0.0008318,              0.0008318
                     62,                0.89572,                0.56712,                 1.1294,                0.85343,                0.84375,                0.90819,                0.60904,                 1.1262,                0.71743,                 1.2778,               0.000812,               0.000812,               0.000812
                     63,                0.86423,                0.54547,                 1.1005,                0.86787,                0.87238,                0.90635,                0.54181,                   1.32,                0.76204,                  1.465,              0.0007922,              0.0007922,              0.0007922
                     64,                0.86571,                0.55957,                 1.1071,                0.78438,                0.88102,                0.91078,                0.55934,                  1.187,                0.75225,                 1.2896,              0.0007724,              0.0007724,              0.0007724
                     65,                0.84651,                0.55142,                 1.1201,                0.85807,                0.90625,                0.92788,                0.62378,                 1.1014,                0.67417,                 1.2182,              0.0007526,              0.0007526,              0.0007526
                     66,                0.84965,                0.55155,                 1.1081,                0.79309,                0.89844,                  0.909,                0.60418,                 1.1019,                0.71759,                 1.2322,              0.0007328,              0.0007328,              0.0007328
                     67,                0.84996,                0.54917,                 1.1281,                0.80889,                 0.9375,                0.91913,                0.57928,                 1.1806,                0.69252,                 1.3375,               0.000713,               0.000713,               0.000713
                     68,                0.86395,                 0.5306,                 1.1141,                0.84967,                0.90625,                0.92894,                0.56323,                 1.2554,                0.69242,                 1.3572,              0.0006932,              0.0006932,              0.0006932
                     69,                0.84968,                0.53724,                 1.1003,                0.76324,                0.88147,                0.88809,                0.57541,                 1.1404,                0.78606,                 1.2588,              0.0006734,              0.0006734,              0.0006734
                     70,                0.82954,                0.52011,                 1.0795,                0.83487,                0.86896,                0.90793,                0.56935,                 1.1779,                0.73417,                  1.297,              0.0006536,              0.0006536,              0.0006536
                     71,                0.83013,                0.52544,                 1.1057,                0.83378,                0.90135,                0.91282,                0.56101,                 1.1818,                0.73386,                 1.3081,              0.0006338,              0.0006338,              0.0006338
                     72,                0.82961,                0.54014,                 1.1113,                0.86025,                 0.8125,                0.91495,                0.55629,                 1.1975,                0.72452,                 1.3199,               0.000614,               0.000614,               0.000614
                     73,                0.85041,                 0.5172,                 1.1037,                0.84667,                0.86719,                 0.9296,                0.59421,                 1.1719,                0.70948,                 1.2976,              0.0005942,              0.0005942,              0.0005942
                     74,                0.79616,                0.50806,                 1.0885,                0.82839,                0.92188,                0.93759,                 0.6033,                 1.1514,                0.66117,                 1.2484,              0.0005744,              0.0005744,              0.0005744
                     75,                0.79762,                0.50439,                 1.0757,                  0.881,                0.86755,                0.93369,                0.58124,                 1.1595,                0.67503,                 1.2585,              0.0005546,              0.0005546,              0.0005546
                     76,                0.76082,                0.49002,                 1.0553,                0.78804,                0.92947,                0.91364,                0.57457,                 1.1503,                0.73056,                 1.2754,              0.0005348,              0.0005348,              0.0005348
                     77,                0.79764,                0.49407,                 1.0724,                0.83265,                0.89404,                0.91015,                0.56577,                 1.1854,                0.71423,                  1.302,               0.000515,               0.000515,               0.000515
                     78,                0.78409,                0.48839,                 1.0596,                 0.8372,                0.84371,                0.88998,                0.56103,                 1.2275,                0.76861,                 1.3297,              0.0004952,              0.0004952,              0.0004952
                     79,                 0.7683,                0.48359,                 1.0759,                0.81597,                0.90066,                0.90515,                0.59126,                 1.1342,                0.69827,                 1.2688,              0.0004754,              0.0004754,              0.0004754
                     80,                0.78575,                0.48759,                  1.067,                0.84749,                0.91406,                0.92062,                 0.6071,                  1.102,                0.67778,                 1.2235,              0.0004556,              0.0004556,              0.0004556
                     81,                0.78128,                0.49634,                 1.0753,                0.79542,                0.92188,                0.90125,                0.59931,                 1.0834,                0.73302,                 1.2048,              0.0004358,              0.0004358,              0.0004358
                     82,                0.77676,                0.49204,                 1.0822,                0.82405,                0.91475,                0.91224,                0.59481,                 1.1371,                0.68456,                 1.2414,               0.000416,               0.000416,               0.000416
                     83,                0.75287,                0.46321,                 1.0414,                0.84854,                 0.8754,                0.90244,                0.58368,                 1.1536,                0.65369,                 1.2685,              0.0003962,              0.0003962,              0.0003962
                     84,                0.76671,                0.48328,                 1.0715,                0.84565,                0.85938,                0.91424,                0.60729,                 1.0852,                0.70697,                 1.2183,              0.0003764,              0.0003764,              0.0003764
                     85,                0.74601,                0.46605,                  1.054,                0.84502,                0.89458,                 0.9194,                0.60609,                 1.1011,                 0.6721,                 1.2377,              0.0003566,              0.0003566,              0.0003566
                     86,                0.75342,                0.47028,                 1.0463,                0.81867,                  0.875,                0.88142,                0.55406,                 1.1811,                0.72667,                 1.3018,              0.0003368,              0.0003368,              0.0003368
                     87,                 0.7422,                0.45013,                 1.0354,                0.85073,                0.86719,                0.88758,                0.56044,                 1.1558,                0.69945,                 1.2749,               0.000317,               0.000317,               0.000317
                     88,                0.74809,                0.45812,                 1.0484,                0.86767,                0.90625,                0.91766,                0.60213,                 1.1105,                0.69702,                 1.2536,              0.0002972,              0.0002972,              0.0002972
                     89,                0.73692,                0.45851,                 1.0383,                0.85753,                0.91406,                0.92065,                0.56828,                 1.2122,                0.71404,                 1.3108,              0.0002774,              0.0002774,              0.0002774
                     90,                0.74978,                0.45707,                 1.0434,                0.83809,                0.93012,                0.92127,                0.59777,                 1.1458,                0.69304,                 1.2725,              0.0002576,              0.0002576,              0.0002576
                     91,                0.73138,                0.40372,                 1.0523,                0.87041,                0.86719,                0.91793,                0.59772,                 1.1226,                0.72168,                 1.2551,              0.0002378,              0.0002378,              0.0002378
                     92,                0.71666,                0.40665,                 1.0205,                0.83243,                0.90625,                0.90628,                0.57661,                  1.127,                0.72178,                   1.26,               0.000218,               0.000218,               0.000218
                     93,                0.71496,                0.38689,                 1.0175,                0.83363,                0.90625,                0.92797,                0.59606,                 1.1142,                0.68944,                 1.2686,              0.0001982,              0.0001982,              0.0001982
                     94,                0.68727,                0.38132,                  1.003,                0.83303,                0.95312,                0.91954,                0.59829,                 1.1287,                 0.6723,                 1.2869,              0.0001784,              0.0001784,              0.0001784
                     95,                0.69162,                0.38056,                 1.0087,                0.86319,                0.92969,                0.92704,                0.60629,                 1.1244,                0.65602,                 1.2734,              0.0001586,              0.0001586,              0.0001586
                     96,                0.71065,                0.38167,                   1.01,                0.86761,                0.90625,                 0.9277,                0.60283,                 1.1259,                0.66379,                 1.2527,              0.0001388,              0.0001388,              0.0001388
                     97,                0.66835,                0.36476,                 1.0045,                0.86655,                0.88281,                0.92618,                0.61341,                 1.1282,                0.66268,                 1.2648,               0.000119,               0.000119,               0.000119
                     98,                0.66784,                0.36718,                0.99426,                 0.8849,                0.90092,                0.91645,                0.60043,                 1.0976,                0.64651,                 1.2395,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.66161,                0.36432,                0.99158,                0.85772,                0.92969,                0.91752,                0.58981,                  1.144,                0.65408,                 1.2737,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.67744,                0.36853,                0.99879,                0.85883,                0.92969,                0.91709,                0.59335,                 1.1243,                0.65461,                   1.27,               5.96e-05,               5.96e-05,               5.96e-05
