                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94414,                0.74948,                 1.1628,                0.52811,                0.71967,                0.68243,                 0.4637,                 1.1056,                 1.0637,                 1.1851,             0.00074804,             0.00074804,             0.00074804
                     36,                 0.9579,                0.75893,                 1.1475,                0.67207,                0.89646,                0.73587,                0.48512,                 1.1225,                0.95699,                 1.2136,             0.00073704,             0.00073704,             0.00073704
                     37,                0.93668,                0.74756,                 1.1401,                0.71472,                0.83584,                0.83818,                 0.5938,                   1.11,                0.97227,                 1.1904,             0.00072604,             0.00072604,             0.00072604
                     38,                 0.9614,                0.76859,                 1.1495,                0.80273,                 0.9001,                0.89248,                0.56319,                 1.2218,                0.88873,                 1.2833,             0.00071504,             0.00071504,             0.00071504
                     39,                0.90939,                0.70138,                 1.1341,                0.84248,                0.74891,                0.82932,                0.58904,                 1.1465,                0.99714,                  1.276,             0.00070404,             0.00070404,             0.00070404
                     40,                0.92878,                0.71349,                 1.1404,                0.83521,                0.84238,                0.86631,                0.58145,                 1.1473,                 1.0142,                 1.2177,             0.00069304,             0.00069304,             0.00069304
                     41,                0.91744,                0.72519,                  1.125,                 0.7559,                0.80698,                0.82682,                0.53416,                 1.2435,                 1.0137,                  1.307,             0.00068204,             0.00068204,             0.00068204
                     42,                0.90898,                0.69992,                 1.1402,                0.81781,                 0.8754,                0.88537,                0.61617,                 1.0609,                 0.9198,                 1.1685,             0.00067104,             0.00067104,             0.00067104
                     43,                0.90053,                0.65784,                 1.0951,                0.78424,                0.80038,                0.88739,                0.57105,                 1.1703,                 1.0021,                 1.2311,             0.00066005,             0.00066005,             0.00066005
                     44,                0.91524,                 0.6863,                 1.1251,                0.79253,                0.83266,                 0.8021,                0.52752,                   1.15,                 1.0435,                 1.2268,             0.00064905,             0.00064905,             0.00064905
                     45,                0.88782,                0.67879,                 1.1021,                0.81991,                 0.8435,                0.86268,                0.58951,                  1.112,                 1.0738,                 1.2303,             0.00063805,             0.00063805,             0.00063805
                     46,                0.89264,                0.66431,                 1.1176,                0.74142,                 0.8092,                0.74892,                0.50642,                 1.1873,                 1.0486,                 1.2909,             0.00062705,             0.00062705,             0.00062705
                     47,                0.87994,                0.67239,                 1.0872,                0.71555,                0.84026,                0.75181,                0.48561,                 1.1026,                 1.0368,                 1.1942,             0.00061605,             0.00061605,             0.00061605
                     48,                0.87153,                0.64495,                 1.0939,                0.83471,                0.83458,                0.84603,                0.57912,                 1.1306,                0.94747,                 1.2317,             0.00060505,             0.00060505,             0.00060505
                     49,                0.86504,                0.62982,                 1.1028,                 0.7664,                0.86246,                0.86656,                0.56079,                   1.18,                 1.0007,                 1.2184,             0.00059405,             0.00059405,             0.00059405
                     50,                0.87916,                 0.6539,                 1.1064,                0.87738,                0.73645,                0.85187,                0.59068,                 1.1609,                0.98226,                 1.2865,             0.00058305,             0.00058305,             0.00058305
                     51,                0.84887,                0.63439,                  1.078,                0.77822,                0.89836,                0.81564,                0.49974,                 1.1398,                0.97029,                 1.2191,             0.00057205,             0.00057205,             0.00057205
                     52,                0.84484,                0.61819,                 1.0738,                0.74025,                0.83517,                 0.7907,                0.51274,                 1.0784,                0.99421,                 1.1953,             0.00056105,             0.00056105,             0.00056105
                     53,                0.85483,                0.61493,                 1.0704,                0.80445,                 0.8713,                 0.8734,                0.60586,                 1.0717,                0.97568,                 1.1754,             0.00055006,             0.00055006,             0.00055006
                     54,                0.88073,                0.62907,                 1.0881,                0.82972,                0.88632,                0.88023,                 0.6066,                 1.0659,                0.88204,                 1.1562,             0.00053906,             0.00053906,             0.00053906
                     55,                0.82958,                0.58963,                 1.0658,                0.78641,                0.85037,                 0.8275,                 0.5888,                  1.072,                 0.9414,                 1.1859,             0.00052806,             0.00052806,             0.00052806
                     56,                0.81754,                0.57159,                  1.061,                0.79393,                0.85168,                 0.8658,                0.61614,                   1.06,                0.92526,                 1.2002,             0.00051706,             0.00051706,             0.00051706
                     57,                 0.8089,                0.56267,                 1.0594,                0.73325,                0.91633,                0.90591,                0.63389,                  1.048,                0.84458,                 1.1805,             0.00050606,             0.00050606,             0.00050606
                     58,                0.81108,                0.55168,                 1.0546,                0.83511,                0.84723,                 0.8785,                0.59644,                 1.0889,                0.94229,                 1.2054,             0.00049506,             0.00049506,             0.00049506
                     59,                0.80359,                0.56283,                 1.0726,                0.77271,                0.83532,                0.81966,                0.53543,                  1.118,                0.96662,                 1.2129,             0.00048406,             0.00048406,             0.00048406
                     60,                0.80397,                0.57145,                   1.07,                0.83425,                0.86576,                0.89297,                0.60266,                 1.0762,                0.85238,                 1.1774,             0.00047306,             0.00047306,             0.00047306
                     61,                0.78137,                0.55079,                 1.0439,                0.82427,                0.81583,                0.86392,                0.59439,                 1.1027,                0.91044,                 1.2243,             0.00046206,             0.00046206,             0.00046206
                     62,                 0.8082,                0.55997,                 1.0594,                0.73264,                0.86208,                0.81655,                0.56149,                 1.0877,                0.90722,                  1.176,             0.00045107,             0.00045107,             0.00045107
                     63,                0.78323,                0.54692,                 1.0416,                0.80557,                0.89661,                0.85693,                0.61167,                  1.071,                0.92697,                  1.166,             0.00044007,             0.00044007,             0.00044007
                     64,                0.78333,                0.53358,                 1.0478,                0.73337,                0.91619,                 0.8751,                0.60204,                 1.0708,                0.91337,                 1.1789,             0.00042907,             0.00042907,             0.00042907
